productNumber,productAsin,productUuid,productImageLink,productLink,productTitle,productStar,numberComment,productPrice,productOldPrice,discountRate
15,B09NDWL6FV,ed35414b-0c18-4925-91f5-4532733f8754,https://m.media-amazon.com/images/I/71fNr-KHeyL._AC_UL320_.jpg,https://www.amazon.co.uk//Tommee-Tippee-Baby-Newborns-Original-Grobag-Hip-Healthy-Cotton-Rich/dp/B09NDWL6FV,"Tommee Tippee Baby Sleep Bag for Newborns, The Original Grobag Swaddle Bag, Hip-Healthy Design, Soft Cotton-Rich Fabric, 0-3m, 2.5 TOG, Sky Grey Marl",4.6 out of 5 stars,336,£19.99,£22.99,%13.05
16,B09NDX1PQ5,eb8e4481-86f5-4326-a0c0-dc7d7a2a50ee,https://m.media-amazon.com/images/I/61HhXjtMQ6L._AC_UL320_.jpg,https://www.amazon.co.uk//Tommee-Tippee-Baby-Newborns-Original-Grobag-Hip-Healthy-Cotton-Rich/dp/B09NDX1PQ5,"Tommee Tippee Baby Sleep Bag for Newborns, 0-3m, 2.5 TOG, The Original Grobag Swaddle Bag, Hip-Healthy Design, Soft Cotton-Rich Fabric, Oatmeal Marl Star",4.6 out of 5 stars,57,£22.99,,
17,B07WPT3613,3c0b659b-781e-419c-a57d-d7653c4988f9,https://m.media-amazon.com/images/I/81zP1KBvDBL._AC_UL320_.jpg,https://www.amazon.co.uk//Cow-Creamy-Porridge-Months-Onwards/dp/B07WPT3613,"Cow & Gate Creamy Porridge Baby Food Cereal, 4-6+ Months, 125 g",4.7 out of 5 stars,106,£1.75,£4.11,%57.42
18,B081F35ZLS,ad4e5054-b964-4ec8-8eaa-985985465f93,https://m.media-amazon.com/images/I/61aYufW-JkL._AC_UL320_.jpg,https://www.amazon.co.uk//Maynards-Bassetts-Jelly-Babies-Sweets/dp/B081F35ZLS,"Maynards Bassetts Jelly Babies Sweets Bag, 165 g",4.5 out of 5 stars,126,£1.00,£1.32,%24.24
19,B016IOSMQ0,82d390e8-0a53-4670-b179-e8eda4f31084,https://m.media-amazon.com/images/I/813hgEKKGiL._AC_UL320_.jpg,https://www.amazon.co.uk//Cow-Gate-Sunny-Start-Muesli/dp/B016IOSMQ0,"Cow & Gate My First Muesli Baby Cereal, 330g",4.5 out of 5 stars,29,£2.25,£2.70,%16.67
20,B07317CV1J,5526717d-12cb-4811-909f-7fc5aa1dfb27,https://m.media-amazon.com/images/I/81PsOHW47xL._AC_UL320_.jpg,https://www.amazon.co.uk//Kiddylicious-Strawberry-Wafers-40-g/dp/B07317CV1J,"Kiddylicious Strawberry Wafers, 10 x 4g",4.5 out of 5 stars,188,£2.70,,
21,B0794W4JR8,6e8309a5-bb7c-4350-b737-29d1bf1cb087,https://m.media-amazon.com/images/I/61k1Z2NQSFL._AC_UL320_.jpg,https://www.amazon.co.uk//Heinz-Fruit-Medley-Custard-Months/dp/B0794W4JR8,"Heinz Fruit Medley Custard 4+ Months, 4 x 100g",4.6 out of 5 stars,126,£1.20,£1.60,%25.0
22,B015WIN0YC,8d232d68-5e23-4783-8a1f-e5e78edb58a4,https://m.media-amazon.com/images/I/91jbD+aY-lL._AC_UL320_.jpg,https://www.amazon.co.uk//Organix-107891624-Cheese-Stars-20g/dp/B015WIN0YC,"Organix Finger Foods Cheese Stars, 20g",4.4 out of 5 stars,212,£0.70,,
23,B09L4LL1KH,1748448e-3b12-498a-9026-1460401a3507,https://m.media-amazon.com/images/I/51AsWHu4r-L._AC_UL320_.jpg,https://www.amazon.co.uk//Advent-Calendar-Contrast-Newborns-Months/dp/B09L4LL1KH,"My First Advent Calendar, High Contrast Baby Book for Newborns, 0-12 Months: Countdown to Christmas with Black and White Pictures Included Santa Claus ... ) (High Contrast Baby Books for Newborns)",3.5 out of 5 stars,9,£5.99,,
24,B0794QPW77,38258156-8a22-4c68-b11f-1da093531e74,https://m.media-amazon.com/images/I/61T+vsw2S2L._AC_UL320_.jpg,https://www.amazon.co.uk//Heinz-Fruity-Apple-Custard-Months/dp/B0794QPW77,"Heinz Fruity Apple & Pear Custard 4-36 Months, 4 x 100g",4.8 out of 5 stars,86,£1.20,£1.60,%25.0
